date,close
2021-05-21,37340.77
2021-05-22,37476.83
2021-05-23,34758.67
2021-05-24,38878.56
2021-05-25,38361.81
2021-05-26,39293.23
2021-05-27,38556.88
2021-05-28,35680.47
2021-05-29,34627.82
2021-05-30,35669.44
2021-05-31,37279.31
2021-06-01,36685
2021-06-02,37577.91
2021-06-03,39248.55
2021-06-04,36856.52
2021-06-05,35539.49
2021-06-06,35800.48
2021-06-07,33575.91
2021-06-08,33402.13
2021-06-09,37403.86
2021-06-10,36694.05
2021-06-11,37338.44
2021-06-12,35557.33
2021-06-13,39015.24
2021-06-14,40539.47
2021-06-15,40162.37
2021-06-16,38351
2021-06-17,38095.17
2021-06-18,35841.81
2021-06-19,35484.79
2021-06-20,35585.78
2021-06-21,31609.82
2021-06-22,32538.37
2021-06-23,33688.35
2021-06-24,34654.58
2021-06-25,31594.63
2021-06-26,32275.19
2021-06-27,34709.23
2021-06-28,34493.22
2021-06-29,35904.28
2021-06-30,35060
2021-07-01,33516.11
2021-07-02,33805.02
2021-07-03,34682.16
2021-07-04,35284.05
2021-07-05,33697.78
2021-07-06,34225.73
2021-07-07,33878.56
2021-07-08,32875.95
2021-07-09,33824.26
2021-07-10,33515.35
2021-07-11,34259.23
2021-07-12,33091.1
2021-07-13,32734.14
2021-07-14,32816.39
2021-07-15,31868.68
2021-07-16,31388.06
2021-07-17,31533.91
2021-07-18,31788.25
2021-07-19,30842.03
2021-07-20,29796.16
2021-07-21,32135.19
2021-07-22,32287.74
2021-07-23,33647.26
2021-07-24,34283.01
2021-07-25,35428.26
2021-07-26,37262.77
2021-07-27,39470.48
2021-07-28,40035.1
2021-07-29,40039.44
2021-07-30,42237.95
2021-07-31,41495.01
2021-08-01,39865.41
2021-08-02,39149.59
2021-08-03,38191.44
2021-08-04,39722.41
2021-08-05,40888.74
2021-08-06,42869.58
2021-08-07,44637.34
2021-08-08,43829.14
2021-08-09,46285.48
2021-08-10,45595.66
2021-08-11,45553.49
2021-08-12,44422.14
2021-08-13,47833.64
2021-08-14,47109.65
2021-08-15,47014.49
2021-08-16,45902.46
2021-08-17,44671.58
2021-08-18,44707.98
2021-08-19,46765.87
2021-08-20,49342.4
