symbol,session,side,signal_type,signal_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,quantity,pnl,r_multiple,exit_reason,atr_fraction,status,leverage,margin,liquidation_price,notional,fees,gross_pnl,atr,initial_stop,trail_extreme,breakeven_done
TSLA,2026-08-06,short,power_tower,2026-08-06T10:15:00-04:00,2026-08-06T10:15:00-04:00,2026-08-06T16:00:00+00:00,320.580871,319.46,324.73506443578265,315.58,0.48144123063041777,0.5396335136179577,0.2698167568089789,session_close,0.3303849696693358,closed,4.0,38.585212262702804,400.72608875000003,154.34084905081122,0.0,0.5396335136179577,11.516867743130756,324.73506443578265,319.11,False
SPY,2026-08-07,short,power_tower,2026-08-07T09:45:00-04:00,2026-08-07T09:45:00-04:00,2026-08-07T09:57:00-04:00,771.3182055,770.799129,774.8823545210629,770.645,0.5185927119932345,0.2691892898669473,0.1456382707155105,target,0.1634832253717488,closed,4.0,100.0,964.1477568749999,400.0,0.0,0.2691892898669473,8.624738084251348,774.8823545210629,770.53,False
QQQ,2026-08-07,short,power_tower,2026-08-07T09:45:00-04:00,2026-08-07T09:45:00-04:00,2026-08-07T09:57:00-04:00,720.9032905,719.683908,726.4197913988348,719.54,0.36254865841179135,0.44208548946583487,0.22104274473291743,target,0.21673970447604454,closed,4.0,65.34063020385523,901.129113125,261.3625208154209,0.0,0.44208548946583487,13.633865595339715,726.4197913988348,718.72,False
TSLA,2026-08-07,short,power_tower,2026-08-07T09:55:00-04:00,2026-08-07T09:55:00-04:00,2026-08-07T14:28:00+00:00,327.879411,327.9449868822,327.879411,321.305,0.40816654437674704,-0.02676588123202814,0.0,stop,0.3489306443941672,closed,4.0,33.457351540038296,409.84926375,133.82940616015318,0.0,-0.02676588123202814,14.859686540293668,332.7793716350734,322.86,True
GLD,2026-08-10,long,power_tower,2026-08-10T10:00:00-04:00,2026-08-10T10:00:00-04:00,2026-08-10T10:23:00-04:00,396.39926399999996,397.97039,394.50926872032244,398.05,1.0090836091966104,1.5853974945826836,0.8312856740404778,target,0.1581814769936766,closed,4.0,99.99999999999999,297.299448,399.99999999999994,0.0,1.5853974945826836,4.931045118710141,394.50926872032244,398.06,False
TSLA,2026-08-10,short,power_tower,2026-08-10T10:05:00-04:00,2026-08-10T10:05:00-04:00,2026-08-10T16:00:00+00:00,329.9364995,331.41,333.5195185901123,326.3,0.5581884856598234,-0.8224910127139926,-0.4112455063569963,session_close,0.2756130980540409,closed,4.0,46.04168875495202,412.42062437500005,184.16675501980808,0.0,-0.8224910127139926,11.15694436044929,333.5195185901123,328.27,False
QQQ,2026-08-11,long,power_tower,2026-08-11T09:50:00-04:00,2026-08-11T09:50:00-04:00,2026-08-11T16:00:00+00:00,719.6013915,719.25,715.50284641371,723.05,0.48797804047348375,-0.17147133560902694,-0.08573566780451347,session_close,0.3348828289604697,closed,4.0,87.78741923654056,539.701043625,351.14967694616223,0.0,-0.17147133560902694,10.391694345160621,715.50284641371,722.44,False
NVDA,2026-08-11,long,power_tower,2026-08-11T09:55:00-04:00,2026-08-11T09:55:00-04:00,2026-08-11T16:00:00+00:00,219.7864485,218.52,216.82731432183348,222.09,0.6758733736228206,-0.8559588202145578,-0.4279794101072789,session_close,0.3622185468019861,closed,4.0,37.136952106068335,164.839836375,148.54780842427334,0.0,-0.8559588202145578,7.812962712666084,216.82731432183348,220.56,False
TSLA,2026-08-12,long,power_tower,2026-08-12T09:45:00-04:00,2026-08-12T09:45:00-04:00,2026-08-12T14:27:00+00:00,329.940975,326.14119700881287,326.20643829647213,335.26,0.5355416638724393,-2.0349394277462216,-1.0174697138731108,stop,0.6009879380479113,closed,4.0,44.17428468279872,247.45573124999999,176.69713873119488,0.0,-2.0349394277462216,10.316346814111466,326.20643829647213,330.13,False
SPY,2026-08-12,long,power_tower,2026-08-12T10:05:00-04:00,2026-08-12T10:05:00-04:00,2026-08-12T16:00:00+00:00,772.519473,772.28,769.7565877198331,774.74,0.517786300514395,-0.12399583874307098,-0.08667497044448837,session_close,0.32199316341065476,closed,4.0,100.00000000000001,579.38960475,400.00000000000006,0.0,-0.12399583874307098,7.049839120667701,769.7565877198331,773.305,False
QQQ,2026-08-12,long,john_wick,2026-08-12T09:40:00-04:00,2026-08-12T09:45:00-04:00,2026-08-12T16:00:00+00:00,725.004972,723.265,720.6164078616816,727.165,0.45572992372088106,-0.7929573068364534,-0.3964786534182267,session_close,0.3000856630329084,closed,4.0,82.60161514670487,543.753729,330.4064605868195,0.0,-0.7929573068364534,11.24678855327349,720.6164078616816,726.5,False
TSLA,2026-08-14,short,power_tower,2026-08-14T09:40:00-04:00,2026-08-14T09:40:00-04:00,2026-08-14T10:05:00-04:00,346.005785,350.8718405074394,350.8016801714051,342.17,0.41702329357087214,-2.029258494411059,-1.0146292472055296,stop,0.4911853616441719,closed,4.0,36.07311801381877,432.50723125,144.29247205527508,0.0,-2.029258494411059,11.411170685620668,350.8016801714051,345.12,False
GLD,2026-08-14,short,john_wick,2026-08-14T10:25:00-04:00,2026-08-14T10:30:00-04:00,2026-08-14T10:42:00-04:00,402.744435,402.22542899999996,404.6096920284185,402.145,0.9931856662401803,0.5154693198926978,0.2782490520569676,target,0.2128752773411545,closed,4.0,100.0,503.43054375,400.0,0.0,0.5154693198926978,5.472688113674132,404.6096920284185,401.945,False
NVDA,2026-08-14,long,john_wick,2026-08-14T10:20:00-04:00,2026-08-14T10:30:00-04:00,2026-08-14T16:00:00+00:00,225.155022,225.47,222.06328285546988,227.47,0.6468851046306354,0.20375457648634598,0.10187728824317299,session_close,0.2635012507882985,closed,4.0,36.412357491145755,168.8662665,145.64942996458302,0.0,0.20375457648634598,9.29786857812057,222.06328285546988,226.93,False
SPY,2026-08-17,long,john_wick,2026-08-17T10:00:00-04:00,2026-08-17T10:10:00-04:00,2026-08-17T16:00:00+00:00,775.6851059999999,775.155,773.0369253182663,776.74,0.5156731731806644,-0.27336144314207445,-0.2001774288500978,session_close,0.21799251935752909,closed,4.0,100.0,581.7638294999999,400.0,0.0,-0.27336144314207445,6.422238726934662,773.0369253182663,775.86,False
